,District,Policy,Deficit
0,2,Best Hydropower,5.7250000000000005
1,2,Best Environment,4.470833333333332
2,2,Best Irrigation,0.49166666666666664
3,3,Best Hydropower,0.5250000000000002
4,3,Best Environment,0.5250000000000002
5,3,Best Irrigation,0.5375000000000002
6,4,Best Hydropower,23.104166666666668
7,4,Best Environment,26.55416666666667
8,4,Best Irrigation,0.4291666666666674
9,5,Best Hydropower,0.01250000000000003
10,5,Best Environment,0.7333333333333334
11,5,Best Irrigation,0.0
12,6,Best Hydropower,64.46666666666667
13,6,Best Environment,60.67083333333333
14,6,Best Irrigation,0.6916666666666657
15,7,Best Hydropower,0.025000000000000005
16,7,Best Environment,0.012500000000000002
17,7,Best Irrigation,0.0
18,8,Best Hydropower,0.008333333333333333
19,8,Best Environment,1.2083333333333335
20,8,Best Irrigation,0.012500000000000002
21,9,Best Hydropower,0.0
22,9,Best Environment,0.05833333333333335
23,9,Best Irrigation,0.04583333333333336
