,district,policy,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
0,Irrigation District 2,Best Hydropower,2.2,1.6,2.45,3.0,3.5500000000000007,5.5,9.6,12.75,12.700000000000001,9.45,4.6,1.3
1,Irrigation District 2,Best Environment,2.1500000000000004,1.4000000000000001,1.25,0.5999999999999996,1.4500000000000002,2.4000000000000004,6.999999999999999,11.0,11.55,9.0,4.55,1.3
2,Irrigation District 2,Best Irrigation,0.20000000000000018,0.6000000000000001,0.6000000000000001,0.0,0.9000000000000004,0.9000000000000004,0.1999999999999993,0.6999999999999993,0.9000000000000004,0.0,0.5999999999999996,0.30000000000000004
3,Irrigation District 3,Best Hydropower,0.7000000000000002,0.7999999999999998,0.8000000000000007,0.8000000000000007,0.3000000000000007,0.6999999999999993,0.3999999999999986,0.20000000000000284,0.3999999999999986,0.6000000000000014,0.0,0.6000000000000001
4,Irrigation District 3,Best Environment,0.7000000000000002,0.7999999999999998,0.8000000000000007,0.8000000000000007,0.3000000000000007,0.6999999999999993,0.3999999999999986,0.20000000000000284,0.3999999999999986,0.6000000000000014,0.0,0.6000000000000001
5,Irrigation District 3,Best Irrigation,0.7000000000000002,0.7999999999999998,0.8000000000000007,0.8000000000000007,0.3000000000000007,0.6999999999999993,0.3999999999999986,0.20000000000000284,0.3999999999999986,0.6000000000000014,0.15000000000000036,0.6000000000000001
6,Irrigation District 4,Best Hydropower,10.35,2.95,8.700000000000001,20.1,24.950000000000003,27.650000000000002,33.55,38.3,36.95,38.5,19.6,15.649999999999999
7,Irrigation District 4,Best Environment,11.85,3.5000000000000004,9.0,24.950000000000003,27.250000000000004,30.85,38.3,44.55,43.4,44.7,22.55,17.75
8,Irrigation District 4,Best Irrigation,0.09999999999999964,0.40000000000000036,0.3000000000000007,0.10000000000000142,0.7000000000000028,0.20000000000000284,0.7999999999999972,0.29999999999999716,0.9500000000000028,0.8000000000000043,0.3000000000000007,0.1999999999999993
9,Irrigation District 5,Best Hydropower,0.0,0.0,0.0,0.0,0.15000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Irrigation District 5,Best Environment,0.0,0.0,0.3999999999999999,0.9,1.0500000000000003,1.1000000000000005,1.75,2.700000000000001,0.9000000000000004,0.0,0.0,0.0
11,Irrigation District 5,Best Irrigation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Irrigation District 6,Best Hydropower,8.35,5.25,38.05,61.45,63.300000000000004,67.1,96.05,130.4,135.3,111.54999999999998,44.449999999999996,12.35
13,Irrigation District 6,Best Environment,8.25,5.05,34.8,58.300000000000004,52.30000000000001,59.05,85.35,122.65,133.05,111.54999999999998,45.25,12.45
14,Irrigation District 6,Best Irrigation,0.09999999999999964,0.5,0.5,0.4000000000000057,0.9000000000000057,0.09999999999999432,0.09999999999999432,0.8000000000000114,0.5,1.3999999999999773,2.5,0.5
15,Irrigation District 7,Best Hydropower,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0
16,Irrigation District 7,Best Environment,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.0,0.0,0.0,0.0
17,Irrigation District 7,Best Irrigation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Irrigation District 8,Best Hydropower,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Irrigation District 8,Best Environment,0.1,0.1,0.2,0.5,0.0,2.1999999999999997,2.9000000000000004,3.4,3.0500000000000003,1.7500000000000002,0.3,0.0
20,Irrigation District 8,Best Irrigation,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Irrigation District 9,Best Hydropower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Irrigation District 9,Best Environment,0.0,0.40000000000000036,0.2999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Irrigation District 9,Best Irrigation,0.3999999999999999,0.15000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
